foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
32653;ATERIANKORVIKE, HOT AND COLD MOCCA, JUOMAJAUHE, NUTRILETT;1588.80000;4.50000;46.50000;52.80000;34.20000;0.00000;;8.50000
31225;LINSSI, PUNAINEN, KEITETTY;424.40000;0.40000;15.60000;19.07000;7.60000;0.00000;0.83000;72.10000
32119;PIZZA, TONNIKALAPIZZA, SAARIOINEN;945.55000;8.79600;27.02100;27.14200;8.78000;0.00000;1.65500;54.16000
31246;SOIJAJUOMA, VITAMINOITU;179.98000;1.54100;2.99500;4.35700;3.12000;0.00000;0.50400;90.48000
32191;NAKKI, BROILERNAKKI, 15 % RASVAA;819.65000;15.16200;1.01600;2.07100;13.70000;0.00000;2.35800;67.21000
33665;RUISLEIPÄ, JYVÄLIMPPU, VIIPALOITU TÄYSJYVÄRUISLEIPÄ, VAASAN;1033.60000;4.58100;36.77200;46.83300;9.60000;0.00000;2.20400;39.39800
33905;KIISSELI, MEHUKEITTO, GEFILUS MUSTIKKA-VADELMA, C- JA D-VIT, PROB, ALKAEN 09/12;198.30000;0.15900;10.71300;11.26900;0.15000;0.00000;0.08900;88.34000
34831;SUKLAAKONVEHTI, SUKLAATÄYTE;1786.67000;20.61700;53.63900;55.97700;5.75000;0.00000;1.27200;16.22000
30303;KALAPYÖRYKKÄ, TEOLLINEN;927.47000;11.48500;12.50500;17.88800;14.51000;0.00000;2.57300;53.54000
11522;RUIS-RIISISEOS, RIISI JA RUISROUHE;1455.16000;1.40200;73.53200;77.41000;8.51000;0.00000;0.75700;11.92000
28919;LUUMU, TUMMA, KUIVATTU, PUNNITTU KIVINEEN;706.74000;0.70600;31.20800;38.34600;3.48000;0.00000;1.07900;39.39000
11736;JOGURTTI, MAUSTAMATON, RASVAA 1,5 %;216.20000;1.50000;4.80000;4.80000;4.50000;0.00000;0.69000;88.51000
1266;GRAHAMPUURO, VESI, SUOLAA;255.11000;0.43600;10.94200;13.07600;2.29000;0.00000;0.83000;65.20000
7863;MAKSAPATA, MAKSA, PERUNA;385.06000;4.43500;4.85600;5.29700;7.90000;0.00000;1.69300;74.79000
8043;UUNIKALA, SEITI, VALKOKASTIKE, JUUSTO, KEVYTMAITO, KORPPUJAUHO;488.81000;5.32600;4.17500;4.87200;12.88000;0.00000;1.60200;71.45000
4406;KIISSELI, PUNAHERUKKAKEITTO;232.24000;0.09300;12.15600;13.34400;0.33000;0.00000;0.25400;71.18000
32931;JUUSTO, VUOHENJUUSTO, CHÈVRE, RASVAA 30 %, PAISTETTU;1577.32000;32.65300;1.15400;0.06000;20.56000;0.00000;2.82900;43.78000
714;NAUDANLIHA, RASVAINEN, KESKIARVO;598.74000;8.40000;0.00000;0.00000;16.94000;0.00000;0.90000;73.76000
30357;PASTA, SPAGETTI, KEITETTY, SUOLATON;423.42000;0.42000;19.92000;21.82500;3.60000;0.00000;0.21500;52.95000
906;VIINA, KIRKAS, VODKA, GINI;957.00000;0.00000;0.00000;0.00000;0.00000;33.00000;0.00000;67.00000
31490;JAUHELIHA, NAUDAN, RASVAA 17 %, PAISTETTU ILMAN RASVAA, SUOLATON;1358.87000;24.21200;0.00000;0.00000;27.24000;0.00000;1.21400;63.93000
909;GIN LONG DRINK, 5,5 TIL%;209.70000;0.00000;5.00000;5.00000;0.00000;4.30000;0.10000;90.60000
6018;VANUKAS, VANILJAVANUKAS, KERMAVANUKAS, KOTITEKOINEN;891.78000;13.51400;17.86400;18.16000;5.10000;0.00000;0.56200;59.70000
33847;VIINERI, MANSIKKAVIINERI, VANILJAKREEMI, VAASAN KOTIUUNIN;1528.53000;24.24100;31.68600;32.43500;4.79000;0.00000;0.84300;30.64000
31955;PERUNALAATIKKO, LIHA-PERUNASOSELAATIKKO, PIRKKA, VALMISATERIA;500.01000;6.62200;9.55000;10.07000;4.97000;0.00000;1.69400;76.23000
